year,spring_Ca_spring_prot_only,spring_Ca_summer_prot_only,spring_Ca_autumn_prot_only,spring_Ca_winter_prot_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.3917049176816,1.37998069658318,1.80606180165215,1.86471957508097
2,1.51118475503867,1.46884322844238,1.79595961583261,1.85876260367292
3,1.49054970469628,1.45874986687619,1.78428212578553,1.85356452455648
4,1.47629498041173,1.4355052537587,1.78038914670609,1.84932986166293
5,1.46838826060988,1.42145453659764,1.77598231257326,1.84725560042776
6,1.46422835449972,1.41569512458961,1.77570606655534,1.84639072834414
7,1.4613554114182,1.41267192048955,1.77552281302358,1.84516131343623
8,1.45972649249737,1.41149680013195,1.77606032018118,1.8437123230469
9,1.45759130439576,1.40988986952147,1.77345513268109,1.84247994088478
