year,spring_P_spring,spring_P_summer,spring_P_autumn,spring_P_winter
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.73011637047643,3.03133732070046,2.78870605777105,2.8710013293238
2,2.80673492368927,2.9832525532862,2.91630120376711,2.85715044986855
3,2.67384820837903,3.03640363013546,2.95769514300754,2.85183658246712
4,2.6413523496371,3.02370239524884,2.96866691280494,2.85128456532893
5,2.6307808190529,3.0207318971397,2.97040873285484,2.85010139690282
6,2.63102273178573,3.01861810324728,2.97027391959081,2.84946012646021
7,2.63036838646766,3.02022966226735,2.97194975989944,2.84984087994383
8,2.62802399690999,3.01886786374507,2.97226680844836,2.84932791178014
9,2.62713132463028,3.01827171415166,2.9720101507275,2.8498987035712
