year,spring_P_spring_prot_only,spring_P_summer_prot_only,spring_P_autumn_prot_only,spring_P_winter_prot_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.63679418514523,2.92781582074598,2.84023016331352,2.83128741560677
2,2.747630890943,3.06076741840487,2.93042356060513,2.84807879974651
3,2.66578958154677,3.02709793820407,2.95695135443802,2.85279998108219
4,2.63971520501329,3.0216352624306,2.96651808579145,2.85089372951189
5,2.63276650631472,3.01942700151227,2.96923181134823,2.85035426601466
6,2.63100942631638,3.02052994315776,2.96981282464335,2.84993408338992
7,2.63032083759599,3.01980383091994,2.97038610570223,2.84964366366702
8,2.62996062589837,3.02001560505313,2.97112120973259,2.84939905939476
9,2.62798839525765,3.01809864463678,2.97176460293364,2.85008651633452
