year,winter_P_spring,winter_P_summer,winter_P_autumn,winter_P_winter
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.76813259000152,3.10391646132662,2.86414675227791,3.01039305602844
2,2.76746860174714,2.9793941088877,2.89441299608517,2.96460305542002
3,2.71537621460674,3.04664926762949,2.93280260698541,2.83525527007527
4,2.66580907422459,3.02678307611734,2.95473227839449,2.85619740312656
5,2.64531078334102,3.02442717765703,2.96336979541335,2.85879926492594
6,2.63788203979801,3.02180396861635,2.96715176261075,2.85612320379639
7,2.63253025018297,3.02070331360971,2.96820549576621,2.85277733500447
8,2.63346863713062,3.02046864539213,2.96892049310547,2.8521241655933
9,2.6318738895858,3.02048938138596,2.97077113669825,2.85143233154853
